feature;term;coef;OR;OR_ci_low;OR_ci_high;stderr;z;p_value
age;Intercept;-4,369447852464745;0,012658227848130081;0,0017611723374454037;0,09097958720359645;1,006308153593758;-4,3420574869243005;1,411545856956915e-05
age;C(age)[T.[10-20)];1,50368190537078;4,498220640559152;0,5874523488062726;34,44362589113601;1,0386119674115486;1,447780261109728;0,14767851484257427
age;C(age)[T.[20-30)];2,1997594329371304;9,022842639573364;1,2256419856740859;66,42371120611367;1,018536397620374;2,1597258949964577;0,0307938953363844
age;C(age)[T.[30-40)];2,2984881258408247;9,959114139670747;1,3653306712372437;72,64463952685595;1,01384081147662;2,2671094907820546;0,02338353794869055
age;C(age)[T.[40-50)];2,1276476505398225;8,395095367828311;1,1573505603377654;60,89566001019078;1,0109952392319794;2,1045080807265997;0,035334150472993875
age;C(age)[T.[50-60)];2,200913767591448;9,033264033243409;1,2485963916716782;65,35327159246341;1,00965821283387;2,1798602136994534;0,029267824905120362
age;C(age)[T.[60-70)];2,334957698647176;10,329022988482238;1,4284484455477122;74,68853092257505;1,0093904082605398;2,31323547315152;0,020709696224042663
age;C(age)[T.[70-80)];2,4039981993880177;11,06733746127505;1,5304256504810785;80,03391634427942;1,009432987214001;2,381533226908868;0,017240735326681047
age;C(age)[T.[80-90)];2,3870680236280317;10,881542699699652;1,497341897785832;79,07878067158912;1,0119454088327058;2,3588901167915277;0,018329682383522478
age;C(age)[T.[90-100)];2,2615683754643716;9,598130841099607;1,2299155802869852;74,90279586617763;1,0482962230709765;2,157375296878513;0,030976434408744348
gender;Intercept;-2,0642834727546813;0,12690919189114;0,11513951378838307;0,1398819784497578;0,049657672560686615;-41,570282421753085;0,0
gender;C(gender)[T.Male];-0,0988028011389901;0,9059213370660818;0,7884921927983135;1,0408390551579252;0,0708329203587039;-1,3948712073234362;0,1630546810888973
race;Intercept;-2,2922223059584885;0,10104166666666774;0,08717151867745301;0,11711873967177616;0,07533572927715024;-30,426762015214642;2,431867181301223e-203
race;C(race)[T.Caucasian];0,24901042602827608;1,2827554070442377;1,0842367422525958;1,5176219087379745;0,08578430586999937;2,902750374941956;0,0036990134853766626
race;C(race)[T.Hispanic];0,08884386304788734;1,0929099993675135;0,6571361779287835;1,817663228468523;0,25954960228547286;0,3423001317111245;0,7321250364624967
race;C(race)[T.Other];-0,26570947884027196;0,7666618266330404;0,4079367942705678;1,4408368273504302;0,3219107895444307;-0,8254133985887984;0,4091369306540492
admission_type_id;Intercept;-2,2080865495357913;0,10991075622357768;0,09990504762455318;0,12091855837992499;0,04869911847812197;-45,34140696053404;0,0
admission_type_id;C(admission_type_id)[T.2];0,2033802670140279;1,225538411482774;1,0225221430925042;1,468862467346925;0,09240374002076528;2,2009960524143675;0,027736303303579627
admission_type_id;C(admission_type_id)[T.3];0,1875148717114436;1,2062481882625748;0,9807313717146391;1,4836220535526137;0,10559967496094758;1,7757144781060126;0,07577998983102448
admission_type_id;C(admission_type_id)[T.5];0,06802038603949727;1,070387129210648;0,7330790317432629;1,562899164712525;0,19312709435731457;0,35220529913658405;0,7246843031220964
admission_type_id;C(admission_type_id)[T.6];0,3332918516977382;1,3955545340007567;1,078015386602178;1,806627698987367;0,13172186227059715;2,53026981210647;0,011397484364041099
admission_type_id;C(admission_type_id)[T.Other];0,16039370617050808;1,1739729804245764;0,41260659004236905;3,340258231516466;0,5335069526291002;0,30064032976532834;0,7636887746249602
admission_source_id;Intercept;-2,048204745091311;0,12896622313203604;0,1131103952379315;0,1470447227591729;0,06693298657991818;-30,600827032359426;1,1933363882456677e-205
admission_source_id;C(admission_source_id)[T.17];0,03220942515043072;1,0327337630831077;0,7668982787864976;1,3907177195643676;0,15184489923784583;0,2121205605990013;0,8320129796355697
admission_source_id;C(admission_source_id)[T.2];0,06490706396437314;1,0670598514635234;0,6122800203634119;1,859633972589116;0,28340960336320914;0,22902210508791482;0,8188517353093743
admission_source_id;C(admission_source_id)[T.4];0,40162728570774175;1,4942542989417902;1,0264163957683194;2,1753314922786977;0,19161259106036857;2,0960380708030137;0,036078813874929984
