feature;term;coef;OR;OR_ci_low;OR_ci_high;stderr;z;p_value
Intercept;Intercept;-2,697808045588357;0,06735298572787335;0,025915884009852872;0,17504418080951523;0,48730036774599944;-5,536232320256658;3,090475760088258e-08
age;C(age)[T.[20-30)];0,29840763407368004;1,347711048868195;0,5041579305283509;3,60269066746193;0,5016792898250404;0,5948175261086601;0,5519654510374683
age;C(age)[T.[30-40)];0,6522427188207436;1,9198416694682516;0,7878984427040419;4,6780039609890895;0,4544107968784584;1,4353592020728314;0,1511847654865229
age;C(age)[T.[40-50)];0,34867730809528885;1,4171918002265553;0,596571068073616;3,3666275589173336;0,4414541377688753;0,7898381241990757;0,42962231106325244
age;C(age)[T.[50-60)];0,4727248200265766;1,604359834529773;0,6828740370796003;3,7693195800214054;0,43580886645316413;1,0847067520077172;0,27805155642935064
age;C(age)[T.[60-70)];0,5489594966643117;1,7314505002461353;0,7393131786256323;4,055007974260197;0,4341881606697789;1,2643354803076308;0,2061096399132777
age;C(age)[T.[70-80)];0,47653337096794024;1,6104817711416606;0,6880631659886658;3,769496266309806;0,43388960813003746;1,09828251711694;0,2720811436096875
age;C(age)[T.[80-90)];0,5884651184031825;1,8012216306648554;0,7665889375233517;4,232254346451654;0,43585988408642024;1,3501245237024484;0,1769760431806091
age;C(age)[T.[90-100)];0,4373634583848206;1,5486188332807578;0,6202553051627744;3,866505084003252;0,46683896682983794;0,9368615078446073;0,34882980135654607
gender;C(gender)[T.Male];0,0726290949630599;1,075331617025443;0,9549285388132913;1,2109158325203668;0,06058675856734206;1,1987618529275306;0,23062055951495908
gender;C(gender)[T.Other];-24,266249622441148;2,892688656181207e-11;0,0;inf;216000,12424291996;-0,00011234368363210117;0,9999103627095148
race;C(race)[T.Caucasian];-0,07052139804580294;0,9319077983066972;0,7998560536668156;1,0857605447424599;0,0779616888779795;-0,904564781250165;0,36569600038919603
race;C(race)[T.Hispanic];-0,5417527199564094;0,5817277524690159;0,3461861158378269;0,9775296076610467;0,26481406068499613;-2,045785327844958;0,04077749620427849
race;C(race)[T.Other];-0,32597239058140426;0,7218251163283915;0,434464106255371;1,1992509647189176;0,2590198393545764;-1,2584842589419394;0,20821667646193487
admission_type_id;C(admission_type_id)[T.2];-0,15327757724965196;0,8578915575793842;0,6961460625391389;1,0572176791197516;0,10659287879444804;-1,437972020112431;0,1504419931865071
admission_type_id;C(admission_type_id)[T.3];-0,15596531012348455;0,8555888701284747;0,6655546386338157;1,0998831233305848;0,12814992252217786;-1,217053487461086;0,2235838659007635
admission_type_id;C(admission_type_id)[T.5];-0,3859834955386026;0,6797817450193055;0,4590348475126039;1,006684401773667;0,20033309737075863;-1,926708569898756;0,05401595925531946
admission_type_id;C(admission_type_id)[T.6];-0,18910399892373603;0,8277004222653758;0,5808621375793346;1,1794330266959627;0,18068588957425166;-1,0465897440542804;0,29528883410079554
admission_type_id;C(admission_type_id)[T.Other];-23,48568309186622;6,313896078302917e-11;0,0;inf;38309,04619102264;-0,0006130584137949607;0,9995108501874032
admission_source_id;C(admission_source_id)[T.17];-0,1166911667834822;0,8898599690477588;0,622914079232378;1,2712038319786934;0,18197044450322164;-0,6412643937978416;0,5213509186852547
admission_source_id;C(admission_source_id)[T.2];-0,27937804173404907;0,7562539536120061;0,41507781212954564;1,3778622360457422;0,30608278530515604;-0,9127531999407184;0,3613723571863443
admission_source_id;C(admission_source_id)[T.4];-0,14408675869428744;0,8658126280274889;0,6068678613039166;1,2352466733717096;0,18130815012745624;-0,7947064629637286;0,42678427198321156
admission_source_id;C(admission_source_id)[T.6];-0,04338075527501743;0,9575467296798519;0,6242101554764734;1,468889494149118;0,21831392198554714;-0,1987081487083968;0,8424910493911749
admission_source_id;C(admission_source_id)[T.7];-0,20442276744597893;0,8151176931078034;0,6546194146898009;1,0149666183246777;0,11187883694724265;-1,8271799477355677;0,0676727177932059
admission_source_id;C(admission_source_id)[T.Other];-0,32708147802144455;0,7210249929433822;0,4243887135682812;1,225002041354617;0,27042537138918893;-1,2095073636811897;0,22646798379299082
discharge_disposition_id;C(discharge_disposition_id)[T.11];-23,4096322400792;6,812804000056835e-11;0,0;inf;15269,780793177926;-0,0015330693057845279;0,9987767881494265
discharge_disposition_id;C(discharge_disposition_id)[T.18];0,29404151380685684;1,3418396073810204;0,9903655921540856;1,818049360963982;0,15496337443998054;1,8974903900324085;0,057763245929814896
discharge_disposition_id;C(discharge_disposition_id)[T.2];0,7726050534641281;2,165399895128527;1,556041428253377;3,013388088957174;0,16860514061864781;4,582333911227601;4,598148863731576e-06
discharge_disposition_id;C(discharge_disposition_id)[T.22];1,3002021767042053;3,67003858892333;2,657760497853899;5,067869454400615;0,16465523303912236;7,8965129301130395;2,8681451689381324e-15
discharge_disposition_id;C(discharge_disposition_id)[T.3];0,4113567872914037;1,5088636038907741;1,2533159691162328;1,8165166895237381;0,0946772361869536;4,344833075599308;1,3938161028497034e-05
discharge_disposition_id;C(discharge_disposition_id)[T.5];1,070823235653424;2,917780532496825;1,9338834322176164;4,402252531867935;0,20984728116425547;5,102869237630245;3,3454216717046766e-07
discharge_disposition_id;C(discharge_disposition_id)[T.6];0,3389143581363877;1,403423148291999;1,1726112943931857;1,679667032527665;0,09167577676368749;3,6968801367236486;0,00021826533247460306
discharge_disposition_id;C(discharge_disposition_id)[T.Other];0,20579036755522434;1,2284956444544939;0,9055159373556793;1,6666758542658981;0,15563590512949924;1,3222550887855429;0,18608322241969633
payer_code;C(payer_code)[T.CM];-0,36115855747814835;0,6968684959952816;0,4078524800893057;1,1906895861081694;0,27331684924594163;-1,321391485649548;0,1863708635417719
payer_code;C(payer_code)[T.CP];-0,06617725811974763;0,9359649422007301;0,5739651702157623;1,526277931985843;0,24949912820221762;-0,2652404382996935;0,7908242448749654
payer_code;C(payer_code)[T.HM];-0,2249185794078434;0,7985812370696338;0,549045763154585;1,1615279362789872;0,1911539738483428;-1,1766356454942897;0,23934096403183558
payer_code;C(payer_code)[T.MC];0,007295796674259419;1,007322475841275;0,7529728119322363;1,347589918593653;0,1484833176199092;0,04913546377604087;0,9608113415218524
payer_code;C(payer_code)[T.MD];0,12317004575432419;1,1310767393929069;0,7549487326301196;1,694597970830012;0,20626679101404083;0,597139486917891;0,5504142564782111
payer_code;C(payer_code)[T.OG];-0,3218562456766742;0,7248023763162827;0,35975978124312713;1,460247954616985;0,3573853930131934;-0,9005858996167547;0,3678085344122013
payer_code;C(payer_code)[T.Other];-0,3855038955968863;0,6801078464974709;0,3763865348526715;1,2289140020603593;0,30186001094192366;-1,2770949500530406;0,2015687275214214
payer_code;C(payer_code)[T.SP];-0,14781078763167027;0,8625943130148849;0,5798293029920425;1,2832551666603726;0,2026622629015396;-0,7293453922572743;0,4657904123307306
payer_code;C(payer_code)[T.UN];-0,5908477522554901;0,5538575516653605;0,3175732765736436;0,9659445871718739;0,2837801852746548;-2,0820613380164015;0,03733686739212765
insulin;C(insulin)[T.No];-0,16763335050145498;0,8456638400724261;0,6723533673394939;1,0636480237109303;0,1170112735330665;-1,432625638879856;0,1519648506372242
insulin;C(insulin)[T.Steady];-0,09339792429960202;0,9108309863920625;0,739437954235699;1,1219509101739924;0,10636265768872652;-0,8781082226521062;0,3798849911163277
insulin;C(insulin)[T.Up];-0,1378593990503867;0,8712211776596809;0,6902420314202884;1,0996524492153825;0,11880502678024125;-1,1603835526706385;0,24589268014166876
change;C(change)[T.No];0,019690050438646627;1,0198851780685836;0,8648695413289557;1,2026851759002535;0,08411718502819711;0,23407880841526355;0,8149237973862684
diabetesMed;C(diabetesMed)[T.Yes];0,05277265968382762;1,0541899579967584;0,8734235525961456;1,2723683306202973;0,09597489183415485;0,5498590170335287;0,5824160758095276
number_inpatient;number_inpatient;0,29565162403253664;1,3440018573173254;1,2949301133805422;1,3949331889091603;0,018977336896075662;15,579194575698061;1,0081701866759528e-54
number_outpatient;number_outpatient;-0,038099045783656804;0,9626175929555159;0,9152003182158983;1,0124915953633618;0,02577254749092925;-1,4782801660202942;0,139332804200167
number_emergency;number_emergency;0,012512565607576364;1,0125911752840373;0,9686127237244266;1,0585664044558027;0,022654997161155183;0,552309299293611;0,5807364604331118
time_in_hospital;time_in_hospital;-0,003510616389761829;0,9964955386192245;0,9735177422819051;1,020015676509849;0,011902572128444013;-0,29494602946974635;0,768035108722606
